LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,COUNT
7288.0,Red Light / Speed Camera,QUEEN STREET WOOLLAHRA EASTBOUND,,Y,90
7289.0,Red Light / Speed Camera,THOMAS STREET WALLSEND WESTBOUND,,Y,180
7290.0,Red Light / Speed Camera,KING STREET WARRAWONG SOUTHBOUND,,Y,225
7291.0,Red Light / Speed Camera,SPRINGHILL ROAD (NORTHBOUND) SPRING HILL EASTBOUND,,Y,127
7292.0,Red Light / Speed Camera,SPRINGHILL ROAD (SOUTHBOUND) SPRING HILL SOUTHBOUND,,Y,128
7293.0,Red Light / Speed Camera,RAILWAY PARADE BURWOOD WESTBOUND,,Y,74
7294.0,Red Light / Speed Camera,ROOKWOOD ROAD YAGOONA SOUTHBOUND,,Y,215
7295.0,Red Light / Speed Camera,ELIZABETH STREET SYDNEY NORTHBOUND,,Y,226
7296.0,Red Light / Speed Camera,WILLIAM STREET DARLINGHURST WESTBOUND,,Y,287
7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,145
7298.0,Red Light / Speed Camera,VICTORIA ROAD ERMINGTON EASTBOUND,,Y,77
7299.0,Red Light / Speed Camera,MERRYLANDS ROAD MERRYLANDS WEST WESTBOUND,,Y,69
7300.0,Red Light / Speed Camera,RAWSON STREET AUBURN WESTBOUND,,Y,111
7301.0,Red Light / Speed Camera,RUTLEDGE STREET EASTWOOD WESTBOUND,Y,Y,288
7302.0,Red Light / Speed Camera,OXFORD STREET DARLINGHURST WESTBOUND,,Y,224
7303.0,Red Light / Speed Camera,CARLINGFORD ROAD EPPING WESTBOUND,,Y,65
7304.0,Red Light / Speed Camera,HARROW ROAD BEXLEY SOUTHBOUND,,Y,89
7305.0,Red Light / Speed Camera,FALCON STREET NEUTRAL BAY WESTBOUND,,Y,191
7306.0,Red Light / Speed Camera,MARCH STREET RICHMOND EASTBOUND,,Y,31
7307.0,Red Light / Speed Camera,PACIFIC HIGHWAY WAITARA EASTBOUND,Y,Y,382
7308.0,Red Light / Speed Camera,ANZAC PARADE MAROUBRA SOUTHBOUND,,Y,108
7309.0,Red Light / Speed Camera,PENNANT STREET CASTLE HILL NORTHBOUND,,Y,97
7310.0,Red Light / Speed Camera,THIRD AVENUE BLACKTOWN EASTBOUND,,Y,176
7311.0,Red Light / Speed Camera,OLD WINDSOR ROAD GLENWOOD NORTHBOUND,,Y,117
7313.0,Red Light / Speed Camera,KING GEORGES ROAD BLAKEHURST SOUTHBOUND,,Y,108
7314.0,Red Light / Speed Camera,SACKVILLE STREET FAIRFIELD SOUTHBOUND,,Y,17
