,Unnamed: 0,OFFENCE_FINYEAR,OFFENCE_MONTH,OFFENCE_CODE,OFFENCE_DESC,LEGISLATION,SECTION_CLAUSE,FACE_VALUE,CAMERA_IND,CAMERA_TYPE,LOCATION_CODE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_BAND,SPEED_IND,POINT_TO_POINT_IND,RED_LIGHT_CAMERA_IND,SPEED_CAMERA_IND,SEATBELT_IND,MOBILE_PHONE_IND,PARKING_IND,CINS_IND,FOOD_IND,BICYCLE_TOY_ETC_IND,TOTAL_NUMBER,TOTAL_VALUE
39243,60882,2015-2016,01/09/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1338
39275,60921,2016-2017,01/02/2017,83229,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,341,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,4,1364
39313,60970,2015-2016,01/07/2015,33093,Motor vehicle exceed speed limit - over 45 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,11530,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,1,11530
39356,61026,2016-2017,01/11/2016,83063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,114,Y,Mobile Digital Speed Camera,22901.0,MOWBRAY ROAD LANE COVE NORTH WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,17,1938
39421,61107,2016-2017,01/03/2017,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,455,Y,Mobile Digital Speed Camera,22900.0,MOWBRAY ROAD LANE COVE NORTH EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,455
39439,61129,2014-2015,01/10/2014,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,109,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,86,9374
39445,61135,2011-2012,01/01/2012,74711,Exceed speed limit 10 km/h and under - Camera Detected,ROAD RULES 2008,20,278,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,278
39462,61161,2017-2018,01/07/2017,32792,Drive in bus lane - Camera recorded - Corporation,ROAD RULES 2014,154(1),1650,Y,Fixed Digital Bus Lane Camera,8466.0,EPPING ROAD LANE COVE EASTBOUND,,,,,,,,,,,,,1,1650
39572,61308,2015-2016,01/03/2016,83229,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,335,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,3,1005
39594,61334,2017-2018,01/09/2017,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,884,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,11,9724
