LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT
7304.0,Red Light / Speed Camera,HARROW ROAD BEXLEY SOUTHBOUND,,Y,63
7305.0,Red Light / Speed Camera,FALCON STREET NEUTRAL BAY WESTBOUND,,Y,110
7306.0,Red Light / Speed Camera,MARCH STREET RICHMOND EASTBOUND,,Y,105
7307.0,Red Light / Speed Camera,PACIFIC HIGHWAY WAITARA EASTBOUND,Y,Y,180
7308.0,Red Light / Speed Camera,ANZAC PARADE MAROUBRA SOUTHBOUND,,Y,76
7309.0,Red Light / Speed Camera,PENNANT STREET CASTLE HILL NORTHBOUND,,Y,103
7310.0,Red Light / Speed Camera,THIRD AVENUE BLACKTOWN EASTBOUND,Y,Y,100
7311.0,Red Light / Speed Camera,OLD WINDSOR ROAD GLENWOOD NORTHBOUND,,Y,103
7312.0,Red Light / Speed Camera,RICHMOND ROAD DEAN PARK EASTBOUND,,Y,110
7313.0,Red Light / Speed Camera,KING GEORGES ROAD BLAKEHURST SOUTHBOUND,,Y,50
7314.0,Red Light / Speed Camera,SACKVILLE STREET FAIRFIELD SOUTHBOUND,,Y,50
7315.0,Red Light / Speed Camera,HUME HIGHWAY LIVERPOOL SOUTHBOUND,,Y,59
7316.0,Red Light / Speed Camera,ABERCROMBIE STREET CHIPPENDALE NORTHBOUND,,Y,61
7317.0,Red Light / Speed Camera,PRINCES HIGHWAY ST PETERS NORTHBOUND,,Y,92
7318.0,Red Light / Speed Camera,OXFORD STREET DARLINGHURST EASTBOUND,,Y,89
7319.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY EASTERN CREEK EASTBOUND,,Y,40
7320.0,Red Light / Speed Camera,STONEY CREEK ROAD KINGSGROVE EASTBOUND,,Y,66
7321.0,Red Light / Speed Camera,ROOKWOOD ROAD YAGOONA NORTHBOUND,,Y,75
7322.0,Red Light / Speed Camera,ROBERTS ROAD GREENACRE NORTHBOUND,,Y,71
7323.0,Red Light / Speed Camera,FORESHORE ROAD BANKSMEADOW EASTBOUND,,Y,51
7324.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CANLEY HEIGHTS NORTHBOUND,Y,Y,80
7325.0,Red Light / Speed Camera,MACQUARIE STREET WINDSOR SOUTHBOUND,,Y,84
7326.0,Red Light / Speed Camera,HOMEBUSH BAY DRIVE SYDNEY OLYMPIC PARK NORTHBOUND,,Y,34
7327.0,Red Light / Speed Camera,THIRD AVENUE BLACKTOWN SOUTHBOUND,,Y,52
7328.0,Red Light / Speed Camera,WOODSTOCK AVENUE ROOTY HILL WESTBOUND,,Y,50
7329.0,Red Light / Speed Camera,FOVEAUX STREET SURRY HILLS WESTBOUND,,Y,41
7330.0,Red Light / Speed Camera,VICTORIA ROAD DRUMMOYNE NORTHBOUND,,Y,36
7331.0,Red Light / Speed Camera,MCEVOY STREET WATERLOO EASTBOUND,,Y,17
7332.0,Red Light / Speed Camera,CROWN STREET SURRY HILLS NORTHBOUND,Y,Y,36
7333.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY PARRAMATTA EASTBOUND,,Y,46
7334.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY PROSPECT WESTBOUND,,Y,27
7335.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY GREYSTANES SOUTHBOUND,,Y,43
7336.0,Red Light / Speed Camera,RAWSON STREET AUBURN EASTBOUND,,Y,29
7337.0,Red Light / Speed Camera,POLDING STREET SMITHFIELD EASTBOUND,,Y,26
7338.0,Red Light / Speed Camera,MOORE STREET LIVERPOOL EASTBOUND,,Y,16
